Date,allGrades-avg,regularGrade-avg,midGrade-avg,premiumGrade-avg,allDiesel,ulLowSulfur,lowSulfur
1995,1.158,1.111,1.201,1.298,1.109,,
1996,1.245,1.199,1.285,1.381,1.235,,
1997,1.244,1.199,1.284,1.38,1.198,,
1998,1.072,1.03,1.122,1.214,1.044,,
1999,1.176,1.136,1.234,1.32,1.121,,
2000,1.523,1.484,1.576,1.663,1.491,,
2001,1.46,1.42,1.513,1.602,1.401,,
2002,1.386,1.345,1.439,1.53,1.319,,
2003,1.603,1.561,1.658,1.748,1.509,,
2004,1.895,1.852,1.95,2.042,1.81,,
2005,2.314,2.27,2.37,2.468,2.402,,
2006,2.618,2.572,2.676,2.779,2.705,,
2007,2.843,2.796,2.904,3.008,2.885,,
2008,3.299,3.246,3.367,3.485,3.803,3.814,
2009,2.406,2.353,2.474,2.59,2.467,2.473,
2010,2.835,2.782,2.902,3.022,2.992,2.993,
2011,3.576,3.521,3.644,3.771,3.84,3.84,
2012,3.68,3.618,3.756,3.894,3.968,3.968,
2013,3.575,3.505,3.663,3.822,3.922,3.922,
2014,3.437,3.358,3.539,3.71,3.825,3.825,
2015,2.52,2.429,2.645,2.83,2.707,2.707,
2016,2.25,2.143,2.395,2.616,2.304,2.304,
2017,2.528,2.415,2.682,2.917,2.65,2.65,
2018,2.813,2.719,3.055,3.294,3.178,3.178,
2019,2.691,2.604,2.999,3.251,3.056,3.056,
2020,2.258,2.168,2.583,2.834,2.551,2.551,
2021,3.1,3.008,3.432,3.687,3.287,3.287,
